Titre du poste,Entreprise,Ville,Secteur d'activité,Contrat proposé,Niveau d'étude,Expérience,Compétences techniques,Langues,Soft skills,Lien de l'offre,Expérience numérique
ATG Maroc recrute des Techniciens Maintenance,ATG Maroc,Tanger,Non spécifié,Stage,Bac+2,1 à 2 ans,Non spécifié,Français,Innovation,https://www.dreamjob.ma/emploi/atg-maroc-recrute-techniciens-maintenance/,1.5
TE Connectivity recrute des Techniciens Maintenance,TE Connectivity,Tanger,Automobile,Non spécifié,Bac+2,2 à 4 ans,Non spécifié,Non spécifié,"Autonomie, Communication, Résolution de problèmes",https://www.dreamjob.ma/emploi/te-connectivity-recrute-techniciens-maintenance/,3.0
Decayeux STM recrute des Techniciens Maintenance,Decayeux STM,Non spécifié,Procédés,Non spécifié,Bac+2,Non spécifié,"Automatisme, GMAO","Français, Anglais","Innovation, Organisation, Rigueur",https://www.dreamjob.ma/emploi/decayeux-stm-recrute-techniciens-maintenance/,
Stellantis recrute des Techniciens Maintenance,Stellantis,Kénitra,"Automobile, Énergie",Non spécifié,Bac+2,Non spécifié,"5S, GMAO",Non spécifié,"Autonomie, Résolution de problèmes",https://www.dreamjob.ma/emploi/groupe-stellantis-recrute-des-techniciens-maintenance/,
SNOP recrute des Techniciens Maintenance,SNOP,Tanger,"Automobile, Logistique",Non spécifié,Bac+2,Non spécifié,Automatisme,Non spécifié,Innovation,https://www.dreamjob.ma/emploi/snop-recrute-des-techniciens-maintenance/,
Valeo recrute des Techniciens Maintenance,Valeo,Tanger,Automobile,Stage,Bac+3,Non spécifié,Non spécifié,Français,Communication,https://www.dreamjob.ma/emploi/valeo-recrute-des-techniciens-maintenance/,
Hirschmann Automotive recrute des Techniciens Maintenance,Hirschmann Automotive,Kénitra,"Automobile, Procédés",Non spécifié,Bac+2,2 ans,"5S, SAP",Anglais,"Communication, Innovation, Organisation",https://www.dreamjob.ma/emploi/hirschmann-automotive-recrute-techniciens-maintenance/,2.0
ISIO Laboratoires recrute des Techniciens Maintenance,ISIO Laboratoires,Casablanca,"Logistique, Pharmaceutique",Non spécifié,Bac+2,3 ans,Non spécifié,Non spécifié,"Autonomie, Communication, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/isio-laboratoires-recrute-techniciens-maintenance/,3.0
Nexteer Automotive recrute des Techniciens Maintenance,Nexteer Automotive,Kénitra,Automobile,Non spécifié,Bac+2,2 ans,Automatisme,Non spécifié,"Innovation, Travail en équipe",https://www.dreamjob.ma/emploi/nexteer-automotive-recrute-techniciens-maintenance/,2.0
Yura Corporation recrute des Techniciens Maintenance,Yura Corporation,Salé,Automobile,Non spécifié,Bac+2,2 ans,Automatisme,"Français, Anglais",Non spécifié,https://www.dreamjob.ma/emploi/yura-corporation-recrute-techniciens-maintenance/,2.0
Attijariwafa Bank recrute des Chargés Maintenance,Attijariwafa Bank,Casablanca,Logistique,Stage,Bac+3,Non spécifié,Non spécifié,Non spécifié,"Innovation, Leadership, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/attijariwafa-bank-recrute-charges-maintenance/,
Bank Al Maghrib recrute des Techniciens Maintenance,Bank Al Maghrib,Salé,Non spécifié,Non spécifié,Non spécifié,2 ans,Automatisme,Anglais,Autonomie,https://www.dreamjob.ma/emploi-public/bank-al-maghrib-recrute-techniciens-maintenance/,2.0
Futur Trans Atlantic recrute des Chargés Maintenance,Futur Trans Atlantic,Tanger,Logistique,Non spécifié,Bac+3,Non spécifié,Non spécifié,"Français, Anglais",Résolution de problèmes,https://www.dreamjob.ma/emploi/futur-trans-atlantic-recrute-charges-maintenance/,
Ingelec recrute des Agents Maintenance Outillages,Ingelec,Casablanca,"Plasturgie, Énergie",Non spécifié,Bac+2,2 ans,Non spécifié,Non spécifié,"Créativité, Innovation",https://www.dreamjob.ma/emploi/ingelec-recrute-agents-maintenance-outillages/,2.0
Varroc Lighting Systems recrute des Techniciens Maintenance,Varroc Lighting Systems,Tanger,Automobile,Non spécifié,Bac+2,2 ans,Non spécifié,Non spécifié,Initiative,https://www.dreamjob.ma/emploi/varroc-lighting-systems-recrute-des-techniciens-maintenance/,2.0
Riva Industries recrute des Responsables Maintenance,Riva Industries,El jadida,Construction,Non spécifié,Bac+5,8 ans,"5S, AMDEC, GMAO",Non spécifié,"Communication, Leadership, Organisation, Résolution de problèmes",https://www.dreamjob.ma/emploi/riva-industries-recrute-des-responsables-maintenance/,8.0
Maintenance Akademy recrute des Techniciens Maintenance en France,Maintenance Akademy,Non spécifié,Agroalimentaire,CDI,Bac+2,5 ans,GMAO,Français,Non spécifié,https://www.dreamjob.ma/emploi/maintenance-akademy-recrute-des-techniciens-maintenance-en-france/,5.0
Emdep recrute des techniciens programmation et maintenance,Emdep,Casablanca,Automobile,Non spécifié,Bac+2,2 ans,Non spécifié,"Français, Anglais",Non spécifié,https://www.dreamjob.ma/emploi/emdep-recrute-des-techniciens-programmation-et-maintenance/,2.0
Asment Temara recrute des techniciens maintenance mécanique,Asment Temara,Témara,"Construction, Énergie",Non spécifié,Bac+2,2 ans,Non spécifié,Non spécifié,"Autonomie, Organisation",https://www.dreamjob.ma/emploi/asment-temara-recrute-des-techniciens-maintenance-mecanique/,2.0
Kostal Maroc recrute des Techniciens Maintenance,Kostal Maroc,Tanger,Automobile,Non spécifié,Bac+2,2 ans,Automatisme,Anglais,Non spécifié,https://www.dreamjob.ma/emploi/kostal-recrute-techniciens-maintenance/,2.0
Deva Pharmaceutique recrute des Techniciens Maintenance,Deva Pharmaceutique,Casablanca,Pharmaceutique,Non spécifié,Bac+2,5 ans,Automatisme,Non spécifié,Autonomie,https://www.dreamjob.ma/emploi/deva-pharmaceutique-recrute-des-techniciens-maintenance/,5.0
Sogefi recrute Technicien de Maintenance et Superviseur de Production,Sogefi,Non spécifié,Automobile,Non spécifié,Bac+2,3 ans,Robotique,Non spécifié,Réactivité,https://www.dreamjob.ma/emploi/sogefi-recrute-technicien-de-maintenance-et-superviseur-de-production/,3.0
Parthenon Holding ouvre 5 postes à Casablanca,Parthenon Holding,Casablanca,"Construction, Construction, Procédés",CDI,Bac+2,Non spécifié,"Autocad, Excel",Non spécifié,"Autonomie, Communication, Leadership, Organisation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/parthenon-holding-ouvre-5-postes-a-casablanca/,
Groupe Bel propose 12 opportunités à Tanger et Casablanca,Non spécifié,Casablanca,"Agroalimentaire, Logistique, Procédés",CDI,Bac+2,Non spécifié,"Automatisme, Excel, Lean, Lean manufacturing",Non spécifié,"Autonomie, Communication, Créativité, Gestion de projet, Leadership, Organisation, Rigueur, Réactivité, Résolution de problèmes",https://www.dreamjob.ma/emploi/groupe-bel-propose-12-opportunites-a-tanger-et-casablanca/,
SOMADIR recrute des Contrôleurs de Production à Casablanca et El Jadida,SOMADIR,Casablanca,"Agroalimentaire, Procédés",CDD,Bac+2,Non spécifié,Non spécifié,Non spécifié,"Communication, Organisation, Organisation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/somadir-recrute-des-controleurs-de-production-a-casablanca-et-el-jadida/,
La CIMR ouvre des opportunités en finance et informatique,La CIMR,Casablanca,Non spécifié,Non spécifié,Bac+5,5 à 7 ans,"ERP, Python, SQL, VBA",Non spécifié,"Innovation, Organisation, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/la-cimr-ouvre-des-opportunites-en-finance-et-informatique/,6.0
Richbond recrute plusieurs profils à Casablanca et Chefchaouen,Richbond,Chefchaouen,Agroalimentaire,CDI,Bac+2,1 à 3 ans,"Automatisme, Excel",Non spécifié,"Relationnel, Rigueur",https://www.dreamjob.ma/emploi/richbond-recrute-plusieurs-profils-a-casablanca-et-chefchaouen/,2.0
APM Terminals ouvre des postes de Technicians à Tanger,APM Terminals,Tanger,Non spécifié,Intérim,Bac+2,2 ans,Non spécifié,Anglais,"Communication, Rigueur",https://www.dreamjob.ma/emploi/apm-terminals-ouvre-des-postes-de-technicians-a-tanger/,2.0
Infotel recrute des développeurs Fullstack expérimentés,Infotel,Casablanca,Aéronautique,Non spécifié,Bac+4,3 ans,SQL,Non spécifié,"Communication, Organisation, Relationnel",https://www.dreamjob.ma/emploi/infotel-recrute-des-developpeurs-fullstack-experimentes/,3.0
3 postes ouverts chez Danone dans l’industrie agroalimentaire,Non spécifié,Salé,"Agroalimentaire, Logistique, Procédés",Non spécifié,Bac+2,3 ans,"5S, ERP, Excel, SAP",Non spécifié,"Communication, Innovation, Leadership, Organisation, Organisation, Rigueur",https://www.dreamjob.ma/emploi/3-postes-ouverts-chez-danone-dans-lindustrie-agroalimentaire/,3.0
Best Biscuits Maroc ouvre plusieurs postes à Had Soualem,Best Biscuits Maroc,Had soualem,Agroalimentaire,CDI,Bac+2,5 ans,Non spécifié,"Français, Anglais","Autonomie, Innovation, Organisation, Rigueur",https://www.dreamjob.ma/emploi/best-biscuits-maroc-ouvre-plusieurs-postes-a-had-soualem/,5.0
Nouvelles opportunités chez Versigent à Tanger et Kénitra,Non spécifié,Kénitra,"Automobile, Construction, Logistique",Non spécifié,Bac+2,3 ans,Robotique,"Français, Anglais","Communication, Organisation, Rigueur, Résolution de problèmes",https://www.dreamjob.ma/emploi/nouvelles-opportunites-chez-versigent-a-tanger-et-kenitra/,3.0
7 postes ouverts chez Bimbo Maroc à Casablanca,Non spécifié,Casablanca,"Agroalimentaire, Logistique",Non spécifié,Bac+2,3 ans,"5S, ERP, Excel, Lean",Non spécifié,"Communication, Organisation, Relationnel, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/7-postes-ouverts-chez-bimbo-maroc-a-casablanca/,3.0
PROMAN Maroc propose des postes de Chargé(e)s d’Études à Casablanca,Non spécifié,Casablanca,Non spécifié,CDI,Bac+3,Non spécifié,Excel,Français,"Gestion de projet, Rigueur",https://www.dreamjob.ma/emploi/proman-maroc-propose-des-postes-de-chargees-detudes-a-casablanca/,
Aiguebelle lance une campagne de recrutement pour divers postes,Non spécifié,Casablanca,"Agroalimentaire, Chimie, Logistique, Pharmaceutique, Procédés",CDI,Bac+5,5 ans,"5S, AMDEC, Automatisme, ERP, Excel, Kaizen, Lean",Anglais,"Autonomie, Communication, Innovation, Leadership, Organisation, Proactivité, Relationnel, Rigueur, Réactivité, Travail en équipe, Travail en équipe",https://www.dreamjob.ma/emploi/aiguebelle-lance-une-campagne-de-recrutement-pour-divers-postes/,5.0
Société de Construction Routière recrute un Responsable Matériel BTP à Salé,Société de Construction Routière,Salé,"Construction, Construction, Logistique",Non spécifié,Bac+5,5 ans,Non spécifié,Non spécifié,Organisation,https://www.dreamjob.ma/emploi/societe-de-construction-routiere-recrute-un-responsable-materiel-btp-a-sale/,5.0
Postes à saisir chez KOSTAL Group à Tanger,Non spécifié,Tanger,"Automobile, Logistique, Procédés",Non spécifié,Bac+2,2 ans,"5S, Automatisme, SAP","Français, Anglais","Innovation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/postes-a-saisir-chez-kostal-group-a-tanger/,2.0
Nouvelles offres d’emploi chez Cooper Pharma à Rabat,Non spécifié,Rabat,Pharmaceutique,Non spécifié,Bac+2,1 à 2 ans,Automatisme,Non spécifié,"Autonomie, Communication, Organisation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/nouvelles-offres-demploi-chez-cooper-pharma-a-rabat/,1.5
EQDOM lance une campagne de recrutement dans plusieurs villes,Non spécifié,Casablanca,Automobile,Non spécifié,Bac+2,2 à 5 ans,SQL,Non spécifié,"Autonomie, Communication, Flexibilité, Initiative, Leadership, Organisation, Polyvalence, Rigueur",https://www.dreamjob.ma/emploi/eqdom-lance-une-campagne-de-recrutement-dans-plusieurs-villes/,3.5
Centrale Danone lance une grande campagne de recrutement,Non spécifié,Casablanca,"Agroalimentaire, Procédés",CDI,Bac+2,7 ans,"ERP, Excel, GMAO, Lean","Français, Anglais","Adaptabilité, Communication, Initiative, Innovation, Leadership, Organisation, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/centrale-danone-lance-une-grande-campagne-de-recrutement/,7.0
3 postes ouverts à Rabat chez la SOREC,Non spécifié,Rabat,Procédés,Stage,Bac+3,2 à 5 ans,Non spécifié,Non spécifié,"Communication, Innovation, Organisation, Relationnel, Rigueur, Réactivité, Travail en équipe",https://www.dreamjob.ma/emploi/3-postes-ouverts-a-rabat-chez-la-sorec/,3.5
8 postes ouverts chez Somacos à Meknès,Non spécifié,Meknès,"Plasturgie, Procédés",CDI,Bac+2,2 à 5 ans,5S,Non spécifié,"Communication, Créativité, Organisation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/8-postes-ouverts-chez-somacos-a-meknes/,3.5
Lear Corporation recrute 4 profils à Meknès,Lear Corporation,Meknès,"Automobile, Procédés",CDI,Bac+2,2 ans,Excel,Non spécifié,"Innovation, Rigueur",https://www.dreamjob.ma/emploi/lear-corporation-recrute-4-profils-a-meknes/,2.0
SF Tangier recrute 6 profils à Tanger,SF Tangier,Tanger,"Automobile, Logistique",Non spécifié,Bac+2,2 ans,"ERP, Excel","Français, Anglais","Leadership, Organisation, Proactivité, Relationnel, Rigueur, Résolution de problèmes, Travail en équipe",https://www.dreamjob.ma/emploi/sf-tangier-recrute-6-profils-a-tanger/,2.0
Sentury Tire recrute 5 profils à Tanger,Sentury Tire,Tanger,"Automobile, Logistique",CDI,Bac+3,3 ans,Excel,"Français, Anglais","Autonomie, Communication, Initiative, Innovation, Leadership, Organisation, Rigueur, Réactivité, Résolution de problèmes, Travail en équipe",https://www.dreamjob.ma/emploi/sentury-tire-recrute-5-profils-a-tanger/,3.0
Nouvelle campagne de recrutement chez Medmilk,Non spécifié,Casablanca,Agroalimentaire,CDI,Bac+2,2 à 4 ans,Non spécifié,Non spécifié,"Organisation, Organisation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/nouvelle-campagne-de-recrutement-chez-medmilk/,3.0
Deloitte Extended Services lance une campagne de recrutement pour divers postes,Non spécifié,Casablanca,Non spécifié,CDI,Bac+5,9 ans,"ERP, Excel, SAP, SQL","Français, Anglais","Adaptabilité, Autonomie, Communication, Créativité, Force de proposition, Leadership, Organisation, Organisation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/deloitte-extended-services-lance-une-campagne-de-recrutement-pour-divers-postes/,9.0
SEBN Maroc recrute des Field Support IT à Salé,SEBN Maroc,Salé,Automobile,Non spécifié,Bac+4,2 ans,Non spécifié,Non spécifié,"Organisation, Rigueur, Réactivité, Résolution de problèmes",https://www.dreamjob.ma/emploi/sebn-maroc-recrute-des-field-support-it-a-sale/,2.0
AINSI MAROC lance une grande campagne de recrutement à Casablanca et Agadir,Non spécifié,Casablanca,"Agroalimentaire, Logistique",CDI,Bac+2,Non spécifié,Excel,"Français, Anglais","Organisation, Organisation, Relationnel, Rigueur, Réactivité, Travail en équipe, Travail en équipe",https://www.dreamjob.ma/emploi/ainsi-maroc-lance-une-grande-campagne-de-recrutement-a-casablanca-et-agadir/,
EM ÉNERGIE recrute des Chargés d’Études à Tanger,EM ÉNERGIE,Tanger,Énergie,Non spécifié,Bac+3,1 à 2 ans,Non spécifié,Non spécifié,"Autonomie, Organisation, Rigueur",https://www.dreamjob.ma/emploi/em-energie-recrute-des-charges-detudes-a-tanger/,1.5
SOMACOS recrute à Meknès plus de 10 profils en CDI et CDD,SOMACOS,Meknès,"Plasturgie, Procédés",CDI,Bac+2,2 ans,5S,Non spécifié,"Communication, Organisation, Organisation, Rigueur",https://www.dreamjob.ma/emploi/somacos-recrute-a-meknes-plus-de-10-profils-en-cdi-et-cdd/,2.0
Intersig Maroc ouvre plusieurs postes d’opérateurs de production,Intersig Maroc,Casablanca,"Construction, Procédés",CDI,Bac+2,1 an,Non spécifié,Non spécifié,"Organisation, Organisation, Rigueur",https://www.dreamjob.ma/emploi/intersig-maroc-ouvre-plusieurs-postes-doperateurs-de-production/,1.0
Adient recrute 20 Team Leaders Production à Tiflet,Adient,Non spécifié,Automobile,CDI,Bac+2,2 à 3 ans,Non spécifié,Non spécifié,"Organisation, Relationnel, Réactivité",https://www.dreamjob.ma/emploi/adient-recrute-20-team-leaders-production-a-tiflet/,2.5
SOMADIR ouvre des postes de contrôleurs de production,SOMADIR,Casablanca,"Agroalimentaire, Procédés",CDD,Bac+2,Non spécifié,Non spécifié,Non spécifié,"Organisation, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/somadir-ouvre-des-postes-de-controleurs-de-production/,
Michoc ouvre des postes en production et supply chain,Michoc,Casablanca,"Agroalimentaire, Logistique",CDI,Bac+5,2 ans,ERP,Non spécifié,"Leadership, Organisation, Réactivité",https://www.dreamjob.ma/emploi/michoc-ouvre-des-postes-en-production-et-supply-chain/,2.0
JTEKT cherche des Chargé(s) qualité production à Tanger,JTEKT,Tanger,Automobile,CDI,Bac+5,3 ans,AMDEC,Non spécifié,"Innovation, Leadership, Organisation, Rigueur, Réactivité, Résolution de problèmes",https://www.dreamjob.ma/emploi/jtekt-cherche-des-charges-qualite-production-a-tanger/,3.0
Floquet Monopole recrute 2 Superviseurs de Production à Fès – Opportunité à saisir dès maintenant,Floquet Monopole,Fès,Automobile,Non spécifié,Bac+3,3 ans,"Lean, Lean manufacturing",Non spécifié,"Leadership, Organisation, Résolution de problèmes",https://www.dreamjob.ma/emploi/floquet-monopole-recrute-2-superviseurs-de-production-a-fes-opportunite-a-saisir-des-maintenant/,3.0
Suprajit Morocco recrute (70) opérateurs de production à Tanger,Suprajit Morocco,Tanger,"Automobile, Logistique",CDD,Non spécifié,Non spécifié,Non spécifié,"Français, Arabe","Communication, Organisation",https://www.dreamjob.ma/emploi/suprajit-morocco-recrute-70-operateurs-de-production-a-tanger/,
"DACHSER recrute à Tanger: Cariste, Agent de production, Service client",DACHSER,Tanger,Logistique,Non spécifié,Bac+2,1 an,Non spécifié,"Français, Anglais","Autonomie, Innovation, Rigueur",https://www.dreamjob.ma/emploi/dachser-recrute-a-tanger-cariste-agent-de-production-service-client/,1.0
"Offres d’emploi chez Hutchinson: qualité, production et accueil à Casablanca",Non spécifié,Casablanca,"Automobile, Aéronautique, Ferroviaire",Non spécifié,Bac+2,2 à 3 ans,Excel,Non spécifié,"Innovation, Organisation, Relationnel, Rigueur, Résolution de problèmes",https://www.dreamjob.ma/emploi/offres-demploi-chez-hutchinson-qualite-production-et-accueil-a-casablanca/,2.5
Opportunité d’emploi à Technopolis: Forvia cherche des superviseurs production,Opportunité d’emploi à Technopolis: Forvia,Salé,"Automobile, Logistique",Non spécifié,Bac+5,2 ans,Non spécifié,Non spécifié,"Communication, Créativité, Initiative, Innovation, Leadership, Réactivité",https://www.dreamjob.ma/emploi/opportunite-demploi-a-technopolis-forvia-cherche-des-superviseurs-production/,2.0
