Titre du poste,Entreprise,Ville,Secteur d'activité,Contrat proposé,Niveau d'étude,Expérience,Compétences techniques,Langues,Soft skills,Lien de l'offre
SIDEN recrute des Techniciens BE/BM et Préparateurs en construction métallique,SIDEN,Non spécifié,Construction,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Rigueur,https://www.dreamjob.ma/emploi/siden-recrute-des-techniciens-be-bm-et-preparateurs-en-construction-metallique/
Liste des Convoqués Concours ONCF 2025 (380 Techniciens Spécialisés),Non spécifié,Non spécifié,"Construction, Ferroviaire, Logistique",Non spécifié,Bac+2,15 ans,Non spécifié,Non spécifié,"Autonomie, Initiative",https://www.dreamjob.ma/emploi-public/liste-des-convoques-concours-oncf-2025-380-techniciens-specialises/
"15 Opportunités de Stages Rémunérés, Pré-Embauche et PFE",Non spécifié,Non spécifié,Automobile,Stage,"Bac+2, bac+3, bac+5",Non spécifié,Excel,Non spécifié,Non spécifié,https://www.dreamjob.ma/stage/15-opportunites-de-stages-remuneres-pre-embauche-et-pfe/
Maghreb Industries recrute Plusieurs Profils sur Nouaceur,Maghreb Industries,Nouaceur,"Agroalimentaire, Logistique, Procédés",CDI,"Bac+2, bac+3, bac+4, bac+5",5 ans,"5S, Automatisme, ERP, Excel, Kaizen, Lean, Lean manufacturing","Français, Anglais","Autonomie, Innovation, Leadership, Organisation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/maghreb-industries-recrute-plusieurs-profils-sur-nouaceur/
STROC Industrie recrute des stagiaires PFE – Postulez maintenant !,STROC Industrie,Had Soualem,Construction,Stage,Bac+4,Non spécifié,Non spécifié,Non spécifié,"Créativité, Rigueur, Travailler en équipe",https://www.dreamjob.ma/stage/stroc-industrie-recrute-des-stagiaires-pfe-postulez-maintenant/
Offres de Stages PFE 2025: Rejoignez Coficab et Boostez votre Carrière,Non spécifié,Non spécifié,"Automobile, Logistique",Stage,Non spécifié,Non spécifié,Non spécifié,Non spécifié,"Gestion de projet, Innovation",https://www.dreamjob.ma/stage/offres-de-stages-pfe-2025-rejoignez-coficab-et-boostez-votre-carriere/
Concours de Recrutement ONCF 2025 (380 Techniciens Spécialisés),Non spécifié,Non spécifié,"Construction, Ferroviaire, Logistique",Non spécifié,Bac+2,15 ans,Non spécifié,Non spécifié,"Autonomie, Initiative",https://www.dreamjob.ma/emploi-public/concours-de-recrutement-oncf-2025-380-techniciens-specialises/
Découvrez les (13) Opportunités de Stages et d’Emploi Offertes par Renault Group,Non spécifié,Casablanca,"Automobile, Logistique",Stage,Bac+5,Non spécifié,Non spécifié,Non spécifié,Communication,https://www.dreamjob.ma/emploi/decouvrez-les-13-opportunites-de-stages-et-demploi-offertes-par-renault-group/
(7) Postes à Pourvoir chez SEGULA Technologies,Non spécifié,Tanger,"Automobile, Aéronautique, Ferroviaire, Logistique, Naval, Énergie",Non spécifié,Bac+5,5 ans,"CAO, CATIA, Creo, ERP, Excel","Français, Anglais","Communication, Gestion de projet, Innovation, Organisation, Rigueur",https://www.dreamjob.ma/emploi/7-postes-a-pourvoir-chez-segula-technologies/
Offre d’Emploi: Postes de Techniciens Planificateurs chez SIDEN,Non spécifié,Non spécifié,Construction,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,"Créativité, Organisation, Rigueur",https://www.dreamjob.ma/emploi/offre-demploi-postes-de-techniciens-planificateurs-chez-siden/
Découvrez les Nouvelles Opportunités de Carrière chez Stellantis,Non spécifié,Non spécifié,"Automobile, Construction",Non spécifié,Bac+5,8 ans,Non spécifié,Anglais,"Autonome, Communication, Innovation, Organisation, Rigueur, Résolution de problèmes",https://www.dreamjob.ma/emploi/decouvrez-les-nouvelles-opportunites-de-carriere-chez-stellantis/
Nouveaux Postes Disponibles chez Eaton,Non spécifié,Casablanca,"Procédés, Énergie",Non spécifié,"Bac+2, bac+3",5 ans,"AMDEC, SOLIDWORKS",Anglais,"Autonomie, Communication, Créativité, Force de proposition, Organisation",https://www.dreamjob.ma/emploi/nouveaux-postes-disponibles-chez-eaton/
Alten Embauche des Experts en 2D et CAPITAL XC,Non spécifié,Non spécifié,"Automobile, Aéronautique, Ferroviaire, Naval, Énergie",Non spécifié,"Bac+2, bac+5",1 an,Non spécifié,Non spécifié,Innovation,https://www.dreamjob.ma/emploi/alten-embauche-des-experts-en-2d-et-capital-xc/
Nouvelle Vague de Postes Ouverts chez SEBN-Ma à Salé et Tanger,Non spécifié,Tanger,"Automobile, Construction",Non spécifié,"Bac+2, bac+3, bac+5",2 ans,"Autocad, Conception mécanique","Français, Anglais","Communication, Initiative, Leadership, Organisation",https://www.dreamjob.ma/emploi/nouvelle-vague-de-postes-ouverts-chez-sebn-ma-a-sale-et-tanger/
Carrière chez Oulmès: Nouveaux Profils Recherchés,Non spécifié,Bouskoura,"Agroalimentaire, Logistique",Non spécifié,Bac+5,5 ans,"ERP, Kaizen, Lean",Non spécifié,"Communication, Gestion de projet, Innovation, Résolution de problèmes, Travailler en équipe",https://www.dreamjob.ma/emploi/carriere-chez-oulmes-nouveaux-profils-recherches/
SNEP Ouvre ses Portes à de Nouveaux Talents,SNEP,Mohammedia,"Agroalimentaire, Automobile, Btp",Non spécifié,Non spécifié,3 ans,Non spécifié,Non spécifié,Non spécifié,https://www.dreamjob.ma/emploi/snep-ouvre-ses-portes-a-de-nouveaux-talents/
(7) Postes Disponibles chez Eaton,Non spécifié,Casablanca,"Aéronautique, Logistique, Procédés, Énergie",Non spécifié,"Bac+2, bac+3, bac+4",1 à 3 ans,"AMDEC, CAO, CATIA, Conception mécanique, DAO, ERP, Excel, SOLIDWORKS","Français, Anglais","Autonome, Autonomie, Communication, Créativité, Flexibilité, Innovation, Leadership, Organisation, Polyvalence, Relationnel, Rigueur, Résolution de problèmes",https://www.dreamjob.ma/emploi/7-postes-disponibles-chez-eaton/
Stages PFE 2025 chez Stellantis: Opportunités pour les Étudiants,Non spécifié,Kénitra,"Automobile, Logistique",Stage,Non spécifié,Non spécifié,Non spécifié,"Français, Anglais","Autonome, Communication",https://www.dreamjob.ma/stage/stages-pfe-2025-chez-stellantis-opportunites-pour-les-etudiants/
CAC Recrute (13) Nouveaux Profils,CAC,Casablanca,Automobile,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Communication,https://www.dreamjob.ma/emploi/cac-recrute-13-nouveaux-profils/
Inscription Concours Technicien Mécanicien Aéronautique ISMALA 2024,Non spécifié,Non spécifié,"Aéronautique, Construction, Logistique",Non spécifié,Non spécifié,27 ans,"Automatisme, Robotique","Français, Anglais",Non spécifié,https://www.dreamjob.ma/orientation/inscription-concours-technicien-mecanicien-aeronautique-ismala-2024/
Devenez Technicien Maintenance chez Saint Gobain,Non spécifié,Kénitra,"Construction, Énergie",Non spécifié,Non spécifié,3 à 5 ans,5S,"Français, Anglais",Non spécifié,https://www.dreamjob.ma/emploi/devenez-technicien-maintenance-chez-saint-gobain/
Yazaki Ouvre ses Portes à (5) Nouveaux Profils,Yazaki,Tanger,"Automobile, Logistique",Non spécifié,Bac+5,1 an,"APQP, Kaizen, SAP","Français, Anglais","Communication, Leadership, Organisation, Résolution de problèmes",https://www.dreamjob.ma/emploi/yazaki-ouvre-ses-portes-a-5-nouveaux-profils/
Opportunités de Carrière chez Gentis Recruitment,Non spécifié,Casablanca,"Automobile, Aéronautique, Construction, Ferroviaire, Procédés, Énergie",Non spécifié,Non spécifié,6 ans,"Autocad, Ms project",Non spécifié,"Communication, Gestion de projet, Leadership",https://www.dreamjob.ma/emploi/opportunites-de-carriere-chez-gentis-recruitment/
NOMAC Recrute: Êtes-Vous Prêt Pour Le Défi ?,NOMAC,Ouarzazate,"Chimie, Énergie",Non spécifié,Non spécifié,5 à 7 ans,"Ms project, SAP","Anglais, Arabe","Communication, Organisation",https://www.dreamjob.ma/emploi/nomac-recrute-etes-vous-pret-pour-le-defi/
Postes de Stage Ouverts chez Gestamp Maroc,Non spécifié,Non spécifié,Non spécifié,Stage,Non spécifié,Non spécifié,"CAO, Conception mécanique, DAO",Non spécifié,"Communication, Innovation, Rigueur, Travailler en équipe",https://www.dreamjob.ma/stage/postes-de-stage-ouverts-chez-gestamp-maroc/
Rejoignez Stellantis en Tant que Technicien Maintenance,Non spécifié,Kénitra,"Automobile, Métallurgie",Non spécifié,Bac+2,3 ans,Robotique,Non spécifié,Autonome,https://www.dreamjob.ma/emploi/rejoignez-stellantis-en-tant-que-technicien-maintenance/
Gestamp Maroc Recrute des Stagiaires,Gestamp Maroc,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,"CAO, Conception mécanique, DAO",Non spécifié,"Communication, Innovation, Rigueur, Travailler en équipe",https://www.dreamjob.ma/stage/gestamp-maroc-recrute-des-stagiaires/
STROC Industrie: Opportunités de carrière en CDI,Non spécifié,Casablanca,Construction,CDI,Bac+5,5 ans,Non spécifié,Non spécifié,"Communication, Créativité, Innovation",https://www.dreamjob.ma/emploi/stroc-industrie-opportunites-de-carriere-en-cdi/
Stellantis Ouvre de Nouvelles Opportunités de Carrière !,Stellantis,Non spécifié,Automobile,Non spécifié,"Bac+2, bac+5",1 an,Non spécifié,Non spécifié,"Autonome, Communication, Organisation, Relationnel, Réactivité",https://www.dreamjob.ma/emploi/stellantis-ouvre-de-nouvelles-opportunites-de-carriere/
Opportunité de Carrière: Techniciens Méthode/Industrialisation chez Hutchinson,Non spécifié,Casablanca,"Aéronautique, Procédés",Non spécifié,Bac+2,Non spécifié,"Autocad, CATIA, Conception mécanique, SOLIDWORKS",Non spécifié,Organisation,https://www.dreamjob.ma/emploi/opportunite-de-carriere-techniciens-methode-industrialisation-chez-hutchinson/
Découvrez la vague d’offres d’emploi chez SCIF (+9 postes disponibles) !,Non spécifié,Casablanca,"Construction, Ferroviaire, Procédés",CDI,"Bac+2, bac+3, bac+5",2 ans,"Autocad, ERP, SOLIDWORKS",Anglais,"Autonomie, Communication, Gestion de projet, Organisation",https://www.dreamjob.ma/emploi/decouvrez-la-vague-doffres-demploi-chez-scif-9-postes-disponibles/
Nouvelles Offres d’Emploi à l’Université Mundiapolis,Non spécifié,Casablanca,Logistique,Stage,Non spécifié,25 ans,Non spécifié,Non spécifié,Communication,https://www.dreamjob.ma/emploi/nouvelles-offres-demploi-a-luniversite-mundiapolis/
Stages et Emplois Disponibles chez Gestamp Maroc – Postulez Maintenant !,Non spécifié,Kénitra,Automobile,Stage,"Bac+2, bac+3",Non spécifié,SAP,Non spécifié,Innovation,https://www.dreamjob.ma/emploi/stages-et-emplois-disponibles-chez-gestamp-maroc-postulez-maintenant/
FIRM cherche de Nouveaux Profils !,FIRM,Mohammedia,Non spécifié,Non spécifié,Bac+3,40 ans,"ERP, Excel","Français, Anglais","Autonome, Organisation, Travailler en équipe",https://www.dreamjob.ma/emploi/firm-cherche-de-nouveaux-profils/
Inscription Concours EST 2024/2025,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,2 ans,Non spécifié,Non spécifié,Non spécifié,https://www.dreamjob.ma/orientation/inscription-concours-est-2024-2025/
Inscription Concours ENSEM Casablanca 2024/2025,Non spécifié,Casablanca,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,https://www.dreamjob.ma/orientation/inscription-concours-ensem-casablanca-2024-2025/
Inscription Concours EMI Rabat 2024/2025,Non spécifié,Rabat,Recherche scientifique,Non spécifié,Non spécifié,22 ans,Modélisation,Non spécifié,Créativité,https://www.dreamjob.ma/orientation/inscription-concours-emi-rabat-2024-2025/
Enseignants Recherchés à l’UEMF: Postulez Maintenant !,Non spécifié,Fès,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,https://www.dreamjob.ma/emploi/enseignants-recherches-a-luemf-postulez-maintenant/
Stellantis Recrute: Trouvez Votre Prochain Défi Professionnel,Stellantis,Rabat,"Automobile, Aéronautique",Non spécifié,"Bac+2, bac+5",1 an,CAO,Non spécifié,"Autonome, Communication, Gestion de projet, Organisation, Travail en équipe",https://www.dreamjob.ma/emploi/stellantis-recrute-trouvez-votre-prochain-defi-professionnel/
Intégrez Stellantis: Nouveaux Postes à Pourvoir,Non spécifié,Rabat,Automobile,Non spécifié,"Bac+2, bac+5",3 ans,CAO,Non spécifié,"Autonome, Communication, Gestion de projet, Organisation, Résolution de problèmes, Travail en équipe",https://www.dreamjob.ma/emploi/integrez-stellantis-nouveaux-postes-a-pourvoir/
Multisac recrute 3 Postes sur Casablanca,Multisac,Casablanca,Plasturgie,Non spécifié,Bac+3,5 ans,Non spécifié,"Français, Anglais","Communication, Innovation, Résolution de problèmes",https://www.dreamjob.ma/emploi/multisac-recrute-3-postes-sur-casablanca/
Inscription Concours IFMIA Tanger 2024/2025,Non spécifié,Tanger,Automobile,Non spécifié,Non spécifié,30 ans,Non spécifié,Français,Initiative,https://www.dreamjob.ma/orientation/inscription-concours-ifmia-tanger-2024-2025/
Inscription Concours IFMIA Kénitra 2024/2025,Non spécifié,Kénitra,Automobile,Non spécifié,Non spécifié,30 ans,Non spécifié,Français,"Initiative, Organisation",https://www.dreamjob.ma/etudiants/inscription-concours-ifmia-kenitra-2024-2025/
Inscription Concours IFMIA Casablanca 2024/2025,Non spécifié,Casablanca,Automobile,Non spécifié,Non spécifié,30 ans,Non spécifié,Français,Initiative,https://www.dreamjob.ma/etudiants/inscription-concours-ifmia-casablanca-2024-2025/
Devenez Opérateurs en Usinage à Commande Numérique chez Pratt & Whitney,Non spécifié,Casablanca,Aéronautique,Non spécifié,Bac+2,Non spécifié,Non spécifié,Français,Innovation,https://www.dreamjob.ma/emploi/devenez-operateurs-en-usinage-a-commande-numerique-chez-pratt-whitney/
Auto Hall recrute des Responsables SAV sur Plusieurs Villes,Auto Hall,Non spécifié,"Automobile, Construction",CDI,Bac+5,2 à 5 ans,Non spécifié,Non spécifié,Non spécifié,https://www.dreamjob.ma/emploi/auto-hall-recrute-des-responsables-sav-sur-plusieurs-villes/
Campagne de Recrutement chez SCIF,Non spécifié,Casablanca,"Construction, Ferroviaire",CDI,"Bac+2, bac+3, bac+5",2 ans,"Autocad, ERP, SOLIDWORKS",Anglais,"Communication, Rigueur",https://www.dreamjob.ma/emploi/campagne-de-recrutement-chez-scif/
Inscription Concours ISMALA OFPPT 2024 Mécaniciens d’Entretien d’Aéronefs,Non spécifié,Nouaceur,"Aéronautique, Construction, Logistique",Non spécifié,Non spécifié,27 ans,"Automatisme, Robotique","Français, Anglais",Non spécifié,https://www.dreamjob.ma/orientation/inscription-concours-ismala-ofppt-2024/
Jbel Annour recrute des Superviseurs Maintenance,Jbel Annour,Mohammedia,Non spécifié,Non spécifié,Non spécifié,5 ans,Non spécifié,Non spécifié,"Autonomie, Communication, Leadership",https://www.dreamjob.ma/emploi/jbel-annour-recrute-superviseurs-maintenance/
SomaSteel recrute Plusieurs Profils pour 2024,SomaSteel,Casablanca,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,"Autonomie, Communication, Innovation, Résolution de problèmes",https://www.dreamjob.ma/emploi/somasteel-recrute-plusieurs-profils-pour-2024/
Plastic Omnium recrute Plusieurs Profils pour 2024,Plastic Omnium,Tanger,"Automobile, Logistique, Énergie",Non spécifié,"Bac+2, bac+5",2-5 ans,"5S, CATIA, Excel, SAP",Anglais,"Communication, Innovation, Travail en équipe, Travailler en équipe",https://www.dreamjob.ma/emploi/plastic-omnium-recrute-plusieurs-profils-pour-2024/
Auto Hall recrute des Responsables SAV Juniors,Auto Hall,Casablanca,"Automobile, Btp",CDI,Bac+5,2 ans,Non spécifié,Non spécifié,Non spécifié,https://www.dreamjob.ma/emploi/auto-hall-recrute-responsables-sav/
Proma Group recrute des Techniciens Maintenance,Proma Group,Kénitra,"Automobile, Logistique",Non spécifié,"Bac+2, bac+3",2 ans,"Automatisme, Robotique",Non spécifié,"Autonome, Communication, Innovation, Travailler en équipe",https://www.dreamjob.ma/emploi/proma-group-recrute-techniciens-maintenance/
SEGULA Technologies recrute des Chargés d’Affaires Hispanophones,SEGULA Technologies,Casablanca,"Automobile, Aéronautique, Ferroviaire, Naval, Énergie",Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Innovation,https://www.dreamjob.ma/emploi/segula-technologies-recrute-des-charges-daffaires-hispanophones/
Bertrandt Group recrute des Chargés d’Affaires Moyens Industriels,Bertrandt Group,Rabat,"Automobile, Aéronautique, Logistique",Non spécifié,"Bac+2, bac+5",40 ans,CATIA,Non spécifié,"Autonomie, Communication, Initiative, Organisation, Rigueur",https://www.dreamjob.ma/emploi/bertrandt-group-recrute-charges-daffaires-moyens-industriels/
Résultats Concours de Recrutement ONCF 2023 (90 Postes),Non spécifié,Non spécifié,"Construction, Ferroviaire, Logistique",Non spécifié,Non spécifié,15 ans,Non spécifié,Non spécifié,"Autonomie, Communication",https://www.dreamjob.ma/emploi-public/resultats-concours-de-recrutement-oncf-2023-90-postes/
Alten recrute des Techniciens Documentation Produit,Alten,Rabat,"Automobile, Aéronautique, Ferroviaire, Naval",Non spécifié,Bac+2,30 ans,Excel,Anglais,"Communication, Initiative, Innovation, Travailler en équipe",https://www.dreamjob.ma/emploi/alten-recrute-techniciens-documentation-produit/
Figeac Aero offre des Stages PFE dans Divers Spécialités,Non spécifié,Casablanca,"Aéronautique, Construction, Procédés",Stage,Non spécifié,Non spécifié,5S,Non spécifié,Organisation,https://www.dreamjob.ma/stage/figeac-aero-offre-des-stages-pfe-dans-divers-specialites/
